timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1489761268189,5018,SOAP/XML-RPC Request,200,OK,PythonDirect 1-155,,true,,32,0,225,225,5018,0,0
1489761268029,5205,SOAP/XML-RPC Request,200,OK,PythonDirect 1-69,,true,,32,0,225,225,5205,0,0
1489761268869,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-1,,true,,32,0,242,242,5007,0,0
1489761269026,5003,SOAP/XML-RPC Request,200,OK,PythonDirect 1-73,,true,,32,0,242,242,5003,0,0
1489761269022,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-72,,true,,32,0,242,242,5008,0,0
1489761269037,5004,SOAP/XML-RPC Request,200,OK,PythonDirect 1-74,,true,,32,0,242,242,5004,0,0
1489761269037,5006,SOAP/XML-RPC Request,200,OK,PythonDirect 1-76,,true,,32,0,242,242,5006,0,0
1489761269041,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-77,,true,,32,0,242,242,5007,0,0
1489761269042,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-78,,true,,32,0,242,242,5007,0,0
1489761269037,5012,SOAP/XML-RPC Request,200,OK,PythonDirect 1-75,,true,,32,0,242,242,5012,0,0
